"GPS Time of Week (s)","GPS Week (weeks)","Packet type 0x15","Reserved; set to 0","ID of the range request/response pair this packet represents","Requester’s serial number","Responder’s serial number","Electrical delay within the radio","Antenna calibration max signal index","Responder’s range correction bias (Acquire Bias) in frames","Responder’s range correction bias (LED correction + electrical delay correction) in bins","Distance between the lockspot and the leading edge (in bins)","Raw, unprocessed range measurement","Nonzero if a timeout occurred","Range in feet","Range in bins","Time of the entire range handshake","Timestamp of the range (in hardware counts). The hardware counter is a 32-bit counter driven by a continuously running 3.6864 MHz clock. It overflows (wraps around) every 19 min. 25.084 sec. To convert hardware counts to time in microseconds, convert the time in hardware counts (e.g. the difference between two consecutive range timestamps) to a float for accuracy then divide by 3.6864.","Number of ranges/second","Percentage of received messages","Number of range requests sent","Number of range responses received","Average deviation of noise","Raw peak of received signal","Scan index of raw peak","Reported AT threshold"
73279.757, 1463, 21, 0, 24, 1098, 837, -157, 0, -488, -161, -323, 16030496, 0, 6153, 19680, 2849, 344427377, 0, 10000, 24, 24, 27, 1023, 1196, 1536
73279.958, 1463, 21, 0, 25, 1098, 837, -157, 0, -488, -96, -206, 16030480, 0, 6182, 19772, 2849, 344627484, 0, 10000, 25, 25, 102, 535, 1212, 460
73280.158, 1463, 21, 0, 26, 1098, 837, -157, 0, -488, -31, -89, 16030231, 0, 6172, 19742, 2844, 344827599, 0, 10000, 26, 26, 90, 611, 1212, 537
73280.358, 1463, 21, 0, 27, 1098, 837, -157, 0, -488, 34, -89, 16030184, 0, 6174, 19746, 2849, 345027710, 0, 10000, 27, 27, 61, 515, 1212, 384
73280.558, 1463, 21, 0, 28, 1098, 837, -157, 0, -488, 73, -349, 16030457, 0, 6184, 19781, 2849, 345227820, 0, 10000, 28, 28, 32, 437, 1213, 268
73280.759, 1463, 21, 0, 29, 1098, 837, -157, 0, -488, 34, -89, 16030187, 0, 6178, 19759, 2849, 345427926, 0, 10000, 29, 29, 81, 512, 1233, 384
73280.959, 1463, 21, 0, 30, 1098, 837, -157, 0, -488, 34, -115, 16030148, 0, 6169, 19730, 2849, 345628034, 0, 10000, 30, 30, 13, 472, 1237, 230
73281.159, 1463, 21, 0, 31, 1098, 837, -157, 0, -488, -278, -76, 16030537, 0, 6172, 19741, 2848, 345828152, 0, 10000, 31, 31, 9, 377, 1237, 384
73281.359, 1463, 21, 0, 32, 1098, 837, -157, 0, -488, 34, -89, 16030174, 0, 6173, 19745, 2849, 346028262, 0, 10000, 32, 32, 9, 479, 1219, 460
73281.559, 1463, 21, 0, 33, 1098, 837, -157, 0, -488, -83, -167, 16030387, 0, 6180, 19766, 2849, 346228373, 0, 10000, 33, 33, 28, 472, 1216, 384
73281.760, 1463, 21, 0, 34, 1098, 837, -157, 0, -488, -96, -219, 16030452, 0, 6180, 19766, 2849, 346428480, 0, 10000, 34, 34, 4, 599, 1209, 307
73281.960, 1463, 21, 0, 35, 1098, 837, -157, 0, -488, 47, -115, 16030234, 0, 6171, 19739, 2849, 346628586, 0, 10000, 35, 35, 56, 710, 1212, 460
73282.160, 1463, 21, 0, 36, 1098, 837, -157, 0, -488, 47, -115, 16030138, 0, 6167, 19726, 2848, 346828702, 0, 10000, 36, 36, 55, 513, 1206, 307
73282.160, 1463, 21, 0, 37, 1098, 0, -157, 0, 0, 0, -115, 16030138, 1, 6167, 19726, 2848, 346828702, 0, 10000, 37, 36, 55, 513, 1206, 307
73282.772, 1463, 21, 0, 38, 1098, 837, -157, 0, -488, 8, -76, 16030213, 0, 6169, 19732, 2848, 347441288, 0, 10000, 38, 37, 30, 354, 1207, 134
73282.972, 1463, 21, 0, 39, 1098, 837, -157, 0, -488, 47, -89, 16030090, 0, 6167, 19725, 2848, 347641103, 0, 10000, 39, 38, 2, 535, 1212, 307
73283.172, 1463, 21, 0, 40, 1098, 837, -157, 0, -488, -57, -115, 16030241, 0, 6155, 19687, 2849, 347841214, 0, 10000, 40, 39, 11, 712, 1209, 537
73283.373, 1463, 21, 0, 41, 1098, 837, -157, 0, -488, 34, -115, 16030208, 0, 6164, 19716, 2848, 348041324, 0, 10000, 41, 40, 12, 700, 1212, 537
73283.573, 1463, 21, 0, 42, 1098, 837, -157, 0, -488, 34, -76, 16030183, 0, 6169, 19732, 2849, 348241436, 0, 10000, 42, 41, 9, 467, 1212, 230
73283.573, 1463, 21, 0, 43, 1098, 0, -157, 0, 0, 0, -76, 16030183, 1, 6169, 19732, 2849, 348241436, 0, 10000, 43, 41, 9, 467, 1212, 115
73284.183, 1463, 21, 0, 44, 1098, 837, -157, 0, -488, 86, -310, 16030456, 0, 6183, 19778, 2848, 348854027, 0, 9761, 44, 42, 9, 379, 1212, 230
73284.383, 1463, 21, 0, 45, 1098, 837, -157, 0, -488, 34, -11, 16030158, 0, 6175, 19751, 2849, 349053836, 0, 9767, 45, 43, 36, 339, 1238, 153
73284.583, 1463, 21, 0, 46, 1098, 837, -157, 0, -488, 112, -11, 16030163, 0, 6189, 19797, 2849, 349253948, 0, 9772, 46, 44, 46, 287, 1209, 115
73284.784, 1463, 21, 0, 47, 1098, 837, -157, 0, -488, 73, -50, 16030087, 0, 6180, 19768, 2849, 349454058, 0, 9777, 47, 45, 30, 427, 1212, 153
73284.784, 1463, 21, 0, 48, 1098, 0, -157, 0, 0, 0, -50, 16030087, 1, 6180, 19768, 2849, 349454058, 0, 9777, 48, 45, 30, 427, 1212, 153
73285.395, 1463, 21, 0, 49, 1098, 837, -157, 0, -488, 112, -50, 16030915, 0, 6313, 20192, 2848, 350066658, 0, 9782, 49, 46, 26, 256, 1206, 96
73285.404, 1463, 21, 0, 50, 1098, 0, -157, 0, 0, 0, -50, 16030915, 1, 6313, 20192, 2848, 350066658, 0, 9782, 50, 46, 26, 256, 1206, 96
73286.016, 1463, 21, 0, 51, 1098, 837, -157, 0, -488, -174, -336, 16031478, 0, 6301, 20152, 2847, 350678972, 0, 9787, 51, 47, 111, 375, 1209, 192
73286.406, 1463, 21, 0, 53, 1098, 837, -157, 0, -488, 47, -76, 16030246, 0, 6185, 19783, 2849, 351078886, 0, 9591, 53, 48, 45, 363, 1212, 153
73286.606, 1463, 21, 0, 54, 1098, 837, -157, 0, -488, 47, -76, 16030211, 0, 6179, 19764, 2849, 351279001, 0, 9600, 54, 49, 72, 452, 1209, 307
73286.806, 1463, 21, 0, 55, 1098, 837, -157, 0, -488, 86, -115, 16030230, 0, 6182, 19773, 2849, 351479114, 0, 9607, 55, 50, 23, 446, 1219, 230
73287.007, 1463, 21, 0, 56, 1098, 837, -157, 0, -488, 47, -76, 16030196, 0, 6175, 19750, 2849, 351679237, 0, 9615, 56, 51, 72, 484, 1241, 268
73287.018, 1463, 21, 0, 57, 1098, 0, -157, 0, 0, 0, -76, 16030196, 1, 6175, 19750, 2849, 351679237, 0, 9615, 57, 51, 72, 484, 1241, 134
73287.599, 1463, 21, 0, 62, 1098, 0, -157, 0, 0, 0, -76, 16030196, 1, 6175, 19750, 2849, 351679237, 0, 9615, 62, 51, 72, 484, 1241, 115
73288.809, 1463, 21, 0, 63, 1098, 0, -157, 0, 0, 0, -76, 16030196, 1, 6175, 19750, 2849, 351679237, 0, 9615, 63, 51, 72, 484, 1241, 115
73289.450, 1463, 21, 0, 65, 1098, 837, -157, 0, -488, -70, -323, 16030728, 0, 6206, 19848, 2848, 354116287, 0, 8644, 65, 52, 15, 310, 1209, 134
73289.851, 1463, 21, 0, 67, 1098, 837, -157, 0, -488, 73, 28, 16030114, 0, 6189, 19794, 2849, 354516492, 0, 8524, 67, 53, 21, 276, 1212, 96
73290.051, 1463, 21, 0, 68, 1098, 837, -157, 0, -488, 47, -115, 16030271, 0, 6172, 19742, 2849, 354716611, 0, 8548, 68, 54, 64, 270, 1203, 96
73290.251, 1463, 21, 0, 69, 1098, 837, -157, 0, -488, 73, -89, 16030140, 0, 6176, 19754, 2849, 354916749, 0, 8571, 69, 55, 3, 386, 1209, 268
73290.452, 1463, 21, 0, 70, 1098, 837, -157, 0, -488, 112, -50, 16030159, 0, 6192, 19804, 2849, 355116836, 0, 8593, 70, 56, 16, 281, 1206, 96
73290.652, 1463, 21, 0, 71, 1098, 837, -157, 0, -488, 8, -115, 16030232, 0, 6173, 19743, 2849, 355316945, 0, 8615, 71, 57, 30, 685, 1212, 768
73290.852, 1463, 21, 0, 72, 1098, 837, -157, 0, -488, 34, -115, 16030217, 0, 6172, 19742, 2849, 355517056, 0, 8636, 72, 58, 34, 922, 1209, 1075
73291.053, 1463, 21, 0, 73, 1098, 837, -157, 0, -488, 47, -115, 16030270, 0, 6187, 19788, 2848, 355717171, 0, 8656, 73, 59, 14, 876, 1237, 1228
73291.253, 1463, 21, 0, 74, 1098, 837, -157, 0, -488, 47, -154, 16030343, 0, 6193, 19807, 2848, 355917308, 0, 8676, 74, 60, 21, 809, 1234, 921
73291.453, 1463, 21, 0, 75, 1098, 837, -157, 0, -488, 34, -76, 16030274, 0, 6191, 19802, 2845, 356117396, 0, 8695, 75, 61, 61, 937, 1212, 921
73291.653, 1463, 21, 0, 76, 1098, 837, -157, 0, -488, 8, -115, 16030445, 0, 6198, 19824, 2849, 356317506, 0, 8714, 76, 62, 14, 974, 1212, 1536
73291.854, 1463, 21, 0, 77, 1098, 837, -157, 0, -488, 8, -115, 16030377, 0, 6203, 19840, 2849, 356517614, 0, 8732, 77, 63, 42, 962, 1212, 1536
73292.054, 1463, 21, 0, 78, 1098, 837, -157, 0, -488, 8, -115, 16030423, 0, 6197, 19822, 2848, 356717732, 0, 8750, 78, 64, 16, 921, 1212, 1536
73292.254, 1463, 21, 0, 79, 1098, 837, -157, 0, -488, 8, -115, 16030375, 0, 6203, 19839, 2849, 356917871, 0, 8767, 79, 65, 86, 958, 1209, 1075
73292.455, 1463, 21, 0, 80, 1098, 837, -157, 0, -488, -18, -115, 16030470, 0, 6200, 19831, 2849, 357117958, 0, 8783, 80, 66, 59, 888, 1209, 1075
73292.655, 1463, 21, 0, 81, 1098, 837, -157, 0, -488, 8, -115, 16030411, 0, 6206, 19851, 2849, 357318068, 0, 8800, 81, 67, 25, 936, 1209, 1228
73292.855, 1463, 21, 0, 82, 1098, 837, -157, 0, -488, 8, -115, 16030432, 0, 6208, 19857, 2849, 357518179, 0, 8815, 82, 68, 16, 980, 1209, 1228
73293.046, 1463, 21, 0, 83, 1098, 837, -157, 0, -488, 8, -115, 16030558, 0, 6214, 19876, 2848, 357718293, 0, 8831, 83, 69, 66, 992, 1212, 1536
73293.256, 1463, 21, 0, 84, 1098, 837, -157, 0, -488, -57, -115, 16030658, 0, 6221, 19896, 2849, 357918431, 0, 8846, 84, 70, 59, 1132, 1209, 1536
73293.446, 1463, 21, 0, 85, 1098, 837, -157, 0, -488, -57, -154, 16030647, 0, 6226, 19915, 2849, 358118517, 0, 8860, 85, 71, 38, 1181, 1212, 1843
73293.647, 1463, 21, 0, 86, 1098, 837, -157, 0, -488, 8, -206, 16030681, 0, 6236, 19947, 2849, 358318629, 0, 8875, 86, 72, 29, 1368, 1209, 2457
73293.847, 1463, 21, 0, 87, 1098, 837, -157, 0, -488, -31, -154, 16030859, 0, 6250, 19989, 2849, 358518739, 0, 8888, 87, 73, 8, 1505, 1209, 3072
73294.047, 1463, 21, 0, 88, 1098, 837, -157, 0, -488, 8, -154, 16030758, 0, 6251, 19995, 2848, 358718853, 0, 8902, 88, 74, 14, 1427, 1212, 3072
73294.247, 1463, 21, 0, 89, 1098, 837, -157, 0, -488, 8, -141, 16030776, 0, 6258, 20016, 2849, 358918990, 0, 8915, 89, 75, 4, 723, 1212, 1075
73294.447, 1463, 21, 0, 90, 1098, 837, -157, 0, -488, 73, -50, 16030703, 0, 6269, 20052, 2849, 359119075, 0, 8928, 90, 76, 14, 336, 1212, 134
73294.648, 1463, 21, 0, 91, 1098, 837, -157, 0, -488, -252, -375, 16031405, 0, 6284, 20099, 2849, 359319185, 0, 8941, 91, 77, 49, 412, 1209, 192
73294.659, 1463, 21, 0, 92, 1098, 0, -157, 0, 0, 0, -375, 16031405, 1, 6284, 20099, 2849, 359319185, 0, 8941, 92, 77, 49, 412, 1209, 192
73295.269, 1463, 21, 0, 93, 1098, 837, -157, 0, -488, -135, -37, 16031124, 0, 6305, 20168, 2848, 359931778, 0, 8953, 93, 78, 15, 300, 1212, 134
73295.460, 1463, 21, 0, 94, 1098, 837, -157, 0, -488, -161, -349, 16031244, 0, 6273, 20063, 2849, 360131588, 0, 8965, 94, 79, 6, 416, 1209, 192
73295.660, 1463, 21, 0, 95, 1098, 837, -157, 0, -488, -5, -375, 16031463, 0, 6332, 20253, 2848, 360331698, 0, 8977, 95, 80, 18, 376, 1216, 230
73295.860, 1463, 21, 0, 96, 1098, 837, -157, 0, -488, -44, -50, 16031186, 0, 6319, 20213, 2849, 360531806, 0, 8988, 96, 81, 92, 376, 1206, 230
73296.061, 1463, 21, 0, 97, 1098, 837, -157, 0, -488, -5, -401, 16031496, 0, 6317, 20206, 2848, 360731923, 0, 9000, 97, 82, 6, 772, 1213, 1075
73296.261, 1463, 21, 0, 98, 1098, 837, -157, 0, -488, -57, -128, 16030894, 0, 6260, 20024, 2849, 360932035, 0, 9010, 98, 83, 8, 1033, 1212, 1228
73296.461, 1463, 21, 0, 99, 1098, 837, -157, 0, -488, 8, -115, 16030801, 0, 6255, 20008, 2849, 361132143, 0, 9021, 99, 84, 58, 1075, 1209, 1536
73296.662, 1463, 21, 0, 100, 1098, 837, -157, 0, -488, -395, -154, 16031169, 0, 6257, 20014, 2849, 361332252, 0, 9032, 100, 85, 32, 1114, 1209, 1843
73296.862, 1463, 21, 0, 101, 1098, 837, -157, 0, -488, 8, -180, 16030856, 0, 6255, 20008, 2849, 361532368, 0, 9042, 101, 86, 25, 1305, 1212, 2457
73297.062, 1463, 21, 0, 102, 1098, 837, -157, 0, -488, 8, -193, 16030898, 0, 6259, 20018, 2849, 361732482, 0, 9052, 102, 87, 1, 1257, 1206, 2150
73297.263, 1463, 21, 0, 103, 1098, 837, -157, 0, -488, 8, -154, 16030846, 0, 6259, 20018, 2849, 361932595, 0, 9062, 103, 88, 22, 1207, 1209, 1843
73297.463, 1463, 21, 0, 104, 1098, 837, -157, 0, -488, -18, -154, 16030828, 0, 6251, 19994, 2849, 362132703, 0, 9072, 104, 89, 42, 1270, 1212, 2457
73297.663, 1463, 21, 0, 105, 1098, 837, -157, 0, -488, -31, -115, 16030806, 0, 6251, 19995, 2849, 362332811, 0, 9081, 105, 90, 9, 1356, 1212, 3072
73297.863, 1463, 21, 0, 106, 1098, 837, -157, 0, -488, -44, -219, 16030898, 0, 6250, 19992, 2849, 362532922, 0, 9090, 106, 91, 0, 1819, 1209, 6144
73298.064, 1463, 21, 0, 107, 1098, 837, -157, 0, -488, -57, -180, 16030749, 0, 6240, 19958, 2849, 362733036, 0, 9100, 107, 92, 38, 1688, 1212, 3686
73298.264, 1463, 21, 0, 108, 1098, 837, -157, 0, -488, -31, -141, 16030808, 0, 6249, 19989, 2849, 362933145, 0, 9108, 108, 93, 4, 1364, 1209, 3072
73298.464, 1463, 21, 0, 109, 1098, 837, -157, 0, -488, 8, -154, 16030718, 0, 6252, 19996, 2849, 363133254, 0, 9117, 109, 94, 3, 1483, 1209, 3072
73298.665, 1463, 21, 0, 110, 1098, 837, -157, 0, -488, -31, -115, 16030819, 0, 6253, 19999, 2849, 363333363, 0, 9126, 110, 95, 61, 1406, 1212, 3072
73298.865, 1463, 21, 0, 111, 1098, 837, -157, 0, -488, -31, -141, 16030795, 0, 6247, 19982, 2849, 363533477, 0, 9134, 111, 96, 20, 1239, 1215, 2150
73299.065, 1463, 21, 0, 112, 1098, 837, -157, 0, -488, -44, -115, 16030785, 0, 6246, 19977, 2849, 363733596, 0, 9142, 112, 97, 61, 1286, 1212, 2457
73299.265, 1463, 21, 0, 113, 1098, 837, -157, 0, -488, -44, -154, 16030734, 0, 6243, 19968, 2849, 363933706, 0, 9150, 113, 98, 82, 1461, 1209, 3072
73299.466, 1463, 21, 0, 114, 1098, 837, -157, 0, -488, 8, -115, 16030793, 0, 6257, 20014, 2849, 364133815, 0, 9158, 114, 99, 32, 1270, 1212, 2457
73299.666, 1463, 21, 0, 115, 1098, 837, -157, 0, -488, -18, -154, 16030734, 0, 6246, 19979, 2849, 364333929, 0, 9166, 115, 100, 64, 1331, 1209, 2150
73299.866, 1463, 21, 0, 116, 1098, 837, -157, 0, -488, 8, -115, 16030707, 0, 6256, 20010, 2849, 364534038, 0, 9174, 116, 101, 40, 1194, 1212, 2457
73300.066, 1463, 21, 0, 117, 1098, 837, -157, 0, -488, -18, -115, 16030780, 0, 6250, 19991, 2848, 364734153, 0, 9181, 117, 102, 44, 1266, 1255, 2457
73300.266, 1463, 21, 0, 118, 1098, 837, -157, 0, -488, -18, -141, 16030715, 0, 6251, 19993, 2849, 364934264, 0, 9189, 118, 103, 33, 1301, 1209, 2150
73300.467, 1463, 21, 0, 119, 1098, 837, -157, 0, -488, -18, -115, 16030767, 0, 6250, 19990, 2849, 365134372, 0, 9196, 119, 104, 10, 1369, 1212, 2457
73300.667, 1463, 21, 0, 120, 1098, 837, -157, 0, -488, 8, -154, 16030810, 0, 6252, 19998, 2848, 365334480, 0, 9203, 120, 105, 21, 1293, 1209, 2457
73300.867, 1463, 21, 0, 121, 1098, 837, -157, 0, -488, 8, -154, 16030823, 0, 6256, 20008, 2849, 365534588, 0, 9210, 121, 106, 11, 1362, 1209, 2457
73301.067, 1463, 21, 0, 122, 1098, 837, -157, 0, -488, 8, -154, 16030815, 0, 6255, 20006, 2848, 365734703, 0, 9217, 122, 107, 3, 1346, 1209, 2457
73301.267, 1463, 21, 0, 123, 1098, 837, -157, 0, -488, 8, -115, 16030780, 0, 6253, 20001, 2848, 365934814, 0, 9224, 123, 108, 18, 1295, 1212, 3072
73301.468, 1463, 21, 0, 124, 1098, 837, -157, 0, -488, -18, -115, 16030701, 0, 6250, 19989, 2849, 366134923, 0, 9230, 124, 109, 81, 1225, 1209, 2457
73301.668, 1463, 21, 0, 125, 1098, 837, -157, 0, -488, 8, -115, 16030710, 0, 6256, 20009, 2849, 366335031, 0, 9237, 125, 110, 55, 1284, 1212, 2457
73301.868, 1463, 21, 0, 126, 1098, 837, -157, 0, -488, 8, -141, 16030788, 0, 6251, 19993, 2854, 366535205, 0, 9243, 126, 111, 16, 1341, 1212, 2457
73302.068, 1463, 21, 0, 127, 1098, 837, -157, 0, -488, -18, -115, 16030790, 0, 6253, 20001, 2855, 366735323, 0, 9250, 127, 112, 26, 1279, 1251, 1843
73302.269, 1463, 21, 0, 128, 1098, 837, -157, 0, -488, 8, -115, 16030780, 0, 6254, 20004, 2854, 366935441, 0, 9256, 128, 113, 44, 1237, 1212, 2150
73302.469, 1463, 21, 0, 129, 1098, 837, -157, 0, -488, 8, -154, 16030818, 0, 6258, 20017, 2854, 367135556, 0, 9262, 129, 114, 40, 1181, 1209, 2150
73302.669, 1463, 21, 0, 130, 1098, 837, -157, 0, -488, 8, -115, 16030777, 0, 6255, 20006, 2855, 367335674, 0, 9268, 130, 115, 11, 1225, 1212, 2150
73302.870, 1463, 21, 0, 131, 1098, 837, -157, 0, -488, -18, -154, 16030809, 0, 6253, 20001, 2854, 367535789, 0, 9274, 131, 116, 11, 1271, 1209, 1843
73303.070, 1463, 21, 0, 132, 1098, 837, -157, 0, -488, -31, -115, 16030813, 0, 6257, 20013, 2854, 367735911, 0, 9280, 132, 117, 36, 1251, 1212, 1843
73303.270, 1463, 21, 0, 133, 1098, 837, -157, 0, -488, -18, -154, 16030801, 0, 6254, 20004, 2854, 367936027, 0, 9285, 133, 118, 21, 1307, 1209, 2150
73303.470, 1463, 21, 0, 134, 1098, 837, -157, 0, -488, 8, -115, 16030769, 0, 6254, 20004, 2855, 368136140, 0, 9291, 134, 119, 29, 1181, 1212, 2150
73303.671, 1463, 21, 0, 135, 1098, 837, -157, 0, -488, 8, -154, 16030811, 0, 6257, 20013, 2854, 368336258, 0, 9296, 135, 120, 15, 1212, 1209, 2150
73303.871, 1463, 21, 0, 136, 1098, 837, -157, 0, -488, 8, -141, 16030760, 0, 6247, 19981, 2854, 368536374, 0, 9302, 136, 121, 27, 1171, 1209, 2150
73304.071, 1463, 21, 0, 137, 1098, 837, -157, 0, -488, 8, -154, 16030807, 0, 6257, 20012, 2854, 368736494, 0, 9307, 137, 122, 1, 1194, 1209, 2150
73304.272, 1463, 21, 0, 138, 1098, 837, -157, 0, -488, 8, -115, 16030766, 0, 6256, 20009, 2854, 368936612, 0, 9312, 138, 123, 28, 1219, 1212, 2150
73304.472, 1463, 21, 0, 139, 1098, 837, -157, 0, -488, -18, -141, 16030763, 0, 6245, 19975, 2853, 369136729, 0, 9318, 139, 124, 0, 1209, 1212, 2457
73304.672, 1463, 21, 0, 140, 1098, 837, -157, 0, -488, 8, -115, 16030774, 0, 6255, 20006, 2849, 369336796, 0, 9323, 140, 125, 55, 1290, 1209, 2457
73304.872, 1463, 21, 0, 141, 1098, 837, -157, 0, -488, 8, -115, 16030772, 0, 6253, 19999, 2849, 369536904, 0, 9328, 141, 126, 78, 1244, 1212, 2457
73305.073, 1463, 21, 0, 142, 1098, 837, -157, 0, -488, 8, -115, 16030772, 0, 6255, 20007, 2848, 369737019, 0, 9333, 142, 127, 59, 1260, 1212, 2457
73305.273, 1463, 21, 0, 143, 1098, 837, -157, 0, -488, -18, -115, 16030690, 0, 6251, 19994, 2849, 369937128, 0, 9338, 143, 128, 12, 1271, 1212, 2457
73305.473, 1463, 21, 0, 144, 1098, 837, -157, 0, -488, 8, -115, 16030775, 0, 6255, 20007, 2849, 370137238, 0, 9343, 144, 129, 9, 1332, 1212, 2457
73305.674, 1463, 21, 0, 145, 1098, 837, -157, 0, -488, 8, -115, 16030785, 0, 6259, 20019, 2849, 370337346, 0, 9347, 145, 130, 64, 1240, 1212, 2457
73305.874, 1463, 21, 0, 146, 1098, 837, -157, 0, -488, -18, -141, 16030799, 0, 6254, 20002, 2849, 370537455, 0, 9352, 146, 131, 11, 1236, 1212, 1843
73306.074, 1463, 21, 0, 147, 1098, 837, -157, 0, -488, 8, -141, 16030795, 0, 6257, 20013, 2849, 370737570, 0, 9357, 147, 132, 67, 1243, 1212, 2457
73306.274, 1463, 21, 0, 148, 1098, 837, -157, 0, -488, 8, -115, 16030796, 0, 6261, 20025, 2849, 370937681, 0, 9361, 148, 133, 13, 1320, 1212, 2457
73306.475, 1463, 21, 0, 149, 1098, 837, -157, 0, -488, -18, -141, 16030792, 0, 6252, 19998, 2849, 371137790, 0, 9366, 149, 134, 15, 1267, 1212, 2150
