"GPS Time of Week (s)","GPS Week (weeks)","Packet type 0x15","Reserved; set to 0","ID of the range request/response pair this packet represents","Requester’s serial number","Responder’s serial number","Electrical delay within the radio","Antenna calibration max signal index","Responder’s range correction bias (Acquire Bias) in frames","Responder’s range correction bias (LED correction + electrical delay correction) in bins","Distance between the lockspot and the leading edge (in bins)","Raw, unprocessed range measurement","Nonzero if a timeout occurred","Range in feet","Range in bins","Time of the entire range handshake","Timestamp of the range (in hardware counts). The hardware counter is a 32-bit counter driven by a continuously running 3.6864 MHz clock. It overflows (wraps around) every 19 min. 25.084 sec. To convert hardware counts to time in microseconds, convert the time in hardware counts (e.g. the difference between two consecutive range timestamps) to a float for accuracy then divide by 3.6864.","Number of ranges/second","Percentage of received messages","Number of range requests sent","Number of range responses received","Average deviation of noise","Raw peak of received signal","Scan index of raw peak","Reported AT threshold"
73275.160, 1463, 21, 0, 1, 1098, 837, -157, 0, -488, 8, -115, 16030165, 0, 6159, 19701, 2853, 339825047, 0, 10000, 1, 1, 70, 1116, 1212, 1843
73275.361, 1463, 21, 0, 2, 1098, 837, -157, 0, -488, -18, -115, 16030165, 0, 6157, 19693, 2854, 340024964, 0, 10000, 2, 2, 60, 1194, 1212, 1843
73275.561, 1463, 21, 0, 3, 1098, 837, -157, 0, -488, 8, -115, 16030167, 0, 6160, 19704, 2854, 340225079, 0, 10000, 3, 3, 1, 1158, 1209, 1843
73275.761, 1463, 21, 0, 4, 1098, 837, -157, 0, -488, 8, -154, 16030105, 0, 6156, 19690, 2854, 340425193, 0, 10000, 4, 4, 30, 1191, 1209, 2150
73275.961, 1463, 21, 0, 5, 1098, 837, -157, 0, -488, 8, -115, 16030164, 0, 6160, 19704, 2854, 340625306, 0, 10000, 5, 5, 24, 1082, 1209, 1843
73276.161, 1463, 21, 0, 6, 1098, 837, -157, 0, -488, 47, -115, 16030124, 0, 6159, 19701, 2853, 340825428, 0, 10000, 6, 6, 28, 1129, 1209, 1843
73276.361, 1463, 21, 0, 7, 1098, 837, -157, 0, -488, 8, -115, 16030156, 0, 6160, 19703, 2854, 341025545, 0, 10000, 7, 7, 35, 1109, 1212, 2150
73276.562, 1463, 21, 0, 8, 1098, 837, -157, 0, -488, 8, -115, 16030157, 0, 6160, 19703, 2854, 341225662, 0, 10000, 8, 8, 41, 1107, 1212, 1843
73276.762, 1463, 21, 0, 9, 1098, 837, -157, 0, -488, 8, -115, 16030070, 0, 6159, 19700, 2849, 341425725, 0, 10000, 9, 9, 14, 1143, 1212, 1843
73276.962, 1463, 21, 0, 10, 1098, 837, -157, 0, -488, 8, -115, 16030152, 0, 6161, 19706, 2849, 341625831, 0, 10000, 10, 10, 31, 1198, 1209, 1843
73277.163, 1463, 21, 0, 11, 1098, 837, -157, 0, -488, 8, -115, 16030148, 0, 6159, 19700, 2849, 341825946, 0, 10000, 11, 11, 66, 1113, 1209, 1843
73277.354, 1463, 21, 0, 12, 1098, 837, -157, 0, -488, 8, -115, 16030181, 0, 6162, 19710, 2848, 342026055, 0, 10000, 12, 12, 5, 1127, 1209, 1843
73277.554, 1463, 21, 0, 13, 1098, 837, -157, 0, -488, 8, -115, 16030153, 0, 6158, 19696, 2849, 342226167, 0, 10000, 13, 13, 43, 1129, 1212, 1843
73277.754, 1463, 21, 0, 14, 1098, 837, -157, 0, -488, 8, -115, 16030150, 0, 6162, 19709, 2849, 342426276, 0, 10000, 14, 14, 18, 1084, 1209, 1843
73277.955, 1463, 21, 0, 15, 1098, 837, -157, 0, -488, 8, -115, 16030146, 0, 6159, 19699, 2849, 342626382, 0, 10000, 15, 15, 13, 1129, 1209, 1843
73278.155, 1463, 21, 0, 16, 1098, 837, -157, 0, -488, 8, -115, 16030155, 0, 6163, 19713, 2848, 342826499, 0, 10000, 16, 16, 21, 1103, 1212, 2150
73278.355, 1463, 21, 0, 17, 1098, 837, -157, 0, -488, -18, -115, 16030142, 0, 6158, 19696, 2849, 343026610, 0, 10000, 17, 17, 49, 1127, 1209, 2150
73278.556, 1463, 21, 0, 18, 1098, 837, -157, 0, -488, 8, -115, 16030151, 0, 6160, 19704, 2849, 343226720, 0, 10000, 18, 18, 57, 1077, 1212, 2150
73278.756, 1463, 21, 0, 19, 1098, 837, -157, 0, -488, 8, -115, 16030153, 0, 6163, 19711, 2849, 343426827, 0, 10000, 19, 19, 21, 1134, 1209, 2150
73278.956, 1463, 21, 0, 20, 1098, 837, -157, 0, -488, 8, -115, 16030050, 0, 6157, 19692, 2849, 343626935, 0, 10000, 20, 20, 55, 1142, 1212, 2150
73279.156, 1463, 21, 0, 21, 1098, 837, -157, 0, -488, 34, -141, 16030144, 0, 6161, 19706, 2849, 343827051, 0, 10000, 21, 21, 63, 1040, 1209, 1843
73279.357, 1463, 21, 0, 22, 1098, 837, -157, 0, -488, 8, -89, 16030146, 0, 6165, 19720, 2849, 344027161, 0, 10000, 22, 22, 50, 1086, 1209, 2150
73279.557, 1463, 21, 0, 23, 1098, 837, -157, 0, -488, -5, -115, 16030140, 0, 6158, 19695, 2849, 344227271, 0, 10000, 23, 23, 32, 1211, 1209, 2150
