GPS time of week(s), GPS week, latitude (deg), longitude (deg), height (m), Velocity North (m/s), Velocity East (m/s), Velocity Up (m/s), Ground Speed (km/hr), Clock Offset (m), Clock Drift (m/s), Northing (m), Easting (m), Up (m),STDEV latitude (m), STDEV longitude (m), STDEV height (m), STDEV Velocity North (m/s), STDEV Velocity East (m/s), STDEV Velocity Up (m/s), STDEV Clock Offset (m), STDEV Clock Drift (m/s), NR PSR Available, NR PSR Used, NR Doppler Available, NR Doppler Used, NR ADR Available, NR ADR Used,NDOP,EDOP,VDOP,HDOP,PDOP,TDOP,GDOP
73044.99998,1463,51.0943458705,-114.13795769072,1094.7728,-3.737807e-008,-7.46673e-009,7.600728e-008,1.372196e-007,53277.86652004,-0.24559855,10.865976,-13.152662,1.8157657,1.0382464,0.7840291,1.5577942,0.099999989,0.09999998,0.099999995,1.2200191,99.950102,10,9,0,0,10,9,1.2018007,0.85699159,1.7777128,1.4760622,2.3106325,1.3829641,2.6928818
73049.99999,1463,51.09434398838,-114.13795751176,1094.9155,-0.0009323801,-0.0002675733,-0.000577962,0.003492052,52049.37045951,-123.104834,10.656555,-13.140124,1.95851,0.86957844,0.64716082,1.2993207,0.099958581,0.099956863,0.099972735,1.0127651,99.949887,10,9,0,0,10,7,1.2026286,0.85766691,1.7774597,1.4771284,2.3111191,1.3829243,2.6932788
73055,1463,51.09434516595,-114.13795818451,1094.7876,-0.001998048,0.001663781,-0.001513639,0.009360249,50823.91446984,-122.889972,10.787581,-13.187261,1.8305658,0.76765608,0.56651371,1.1441613,0.099958189,0.099956592,0.099971273,0.89091264,99.949887,10,9,0,0,10,7,1.2034566,0.85834306,1.777207,1.4781951,2.3116066,1.382885,2.6936769
73060.00002,1463,51.09434689017,-114.1379591645,1094.5512,-8.618494e-005,-0.0001660102,0.0004765686,0.0006733754,49601.55079809,-122.580408,10.979434,-13.255926,1.5941377,0.6956051,0.51092155,1.0343109,0.099958159,0.099956574,0.099971119,0.80567442,99.949887,10,9,0,0,10,8,1.2042847,0.85902005,1.7769545,1.4792622,2.3120952,1.3828461,2.6940763
73064.99999,1463,51.09434691106,-114.13795932493,1094.5952,-0.0006108699,-0.000507612,0.0003071921,0.002859298,48382.41577401,-122.281128,10.981758,-13.267166,1.6382154,0.64049092,0.4693216,0.95206876,0.099958143,0.099956379,0.099967581,0.74135548,99.949887,10,9,0,0,10,8,1.2051126,0.85969788,1.7767023,1.4803299,2.3125846,1.3828076,2.6944766
73070,1463,51.09434774601,-114.13796130498,1094.526,-0.0007742065,-0.0004893888,0.0001422436,0.003297288,47166.42758505,-121.959541,11.074663,-13.405902,1.5689683,0.59619217,0.43654232,0.88646825,0.099958121,0.099956366,0.09996745,0.69008823,99.949887,10,9,0,0,10,8,1.2059405,0.86037654,1.7764504,1.4813981,2.3130751,1.3827693,2.6948779
73075.00002,1463,51.09434731253,-114.13796182903,1094.6047,-0.0001793704,-0.0002355025,-8.827991e-005,0.001065716,45953.41203376,-121.672954,11.02643,-13.442622,1.6476675,0.55934141,0.40977261,0.83231967,0.099958122,0.099956367,0.09996743,0.64776958,99.949887,10,9,0,0,10,8,1.2067683,0.86105597,1.7761986,1.4824665,2.3135662,1.3827316,2.6952803
73079.99999,1463,51.09434712015,-114.13796179748,1094.6895,-0.0002969331,-0.0004229017,0.0001142721,0.001860246,44742.91716137,-121.420958,11.005024,-13.440411,1.732511,0.52788703,0.38732274,0.7864661,0.099958126,0.099956369,0.099967416,0.61191797,99.949887,10,9,0,0,10,8,1.2075961,0.86173618,1.7759472,1.4835354,2.3140583,1.3826941,2.6956835
73085,1463,51.0943466436,-114.13796170542,1094.7113,0.0007153943,-0.001056969,-0.0003348499,0.004594723,43534.97644598,-121.162426,10.951999,-13.433961,1.7542306,0.50049447,0.36810473,0.74685502,0.099958131,0.099956372,0.099967402,0.58092591,99.949887,10,9,0,0,10,8,1.2084237,0.86241716,1.7756959,1.4846047,2.3145511,1.3826569,2.6960874
73090.00002,1463,51.09434644616,-114.13796150715,1094.6389,-0.001716512,0.001072976,0.0003076682,0.007287392,42329.5320712,-120.90251,10.93003,-13.420069,1.6818593,0.4762531,0.3513812,0.71208456,0.099958135,0.099956375,0.099967389,0.55369853,99.949887,10,9,0,0,10,8,1.2092514,0.86309898,1.7754449,1.4856746,2.3150449,1.3826202,2.6964924
73094.99999,1463,51.0943471574,-114.13796266793,1094.5479,7.847347e-005,-0.0004928531,0.0001647789,0.001796621,41126.55034417,-120.656095,11.009169,-13.501401,1.5908645,0.45451827,0.33663211,0.68116002,0.099958139,0.099956378,0.099967376,0.5294607,99.949887,10,9,0,0,10,8,1.210079,0.86378157,1.775194,1.4867446,2.3155396,1.3825837,2.6968985
73100,1463,51.09434774329,-114.13796342935,1094.5001,0.001267388,0.0008284449,3.294463e-005,0.005450871,39926.06153518,-120.404871,11.074361,-13.554751,1.5431021,0.4348198,0.32347867,0.65335367,0.099958145,0.099956381,0.099967363,0.50764643,99.949887,10,9,0,0,10,8,1.2109064,0.86446494,1.7749434,1.4878151,2.316035,1.3825476,2.6973052
73104.99997,1463,51.0943477632,-114.1379634073,1094.5054,-0.000768954,-0.0004573449,-0.0003175593,0.003220853,38727.94439594,-120.173142,11.076575,-13.553206,1.5484042,0.41680643,0.31163769,0.62811955,0.099958149,0.099956384,0.099967349,0.48783191,99.949887,10,9,0,0,10,8,1.2117337,0.86514908,1.7746929,1.488886,2.3165312,1.3825119,2.6977129
73109.99999,1463,51.0943480426,-114.13796370524,1094.4515,-0.0005843248,-0.0008103217,-0.0006074669,0.0035965,37531.90854857,-119.958621,11.107664,-13.574082,1.4944535,0.4001707,0.30069841,0.60483341,0.099958154,0.099956387,0.099967336,0.46963488,99.949887,10,9,0,0,10,9,1.2125609,0.865834,1.7744426,1.4899572,2.317028,1.3824763,2.6981215
73115,1463,51.09434841622,-114.13796420981,1094.3525,-0.0001444783,0.001057252,0.0004269824,0.003841481,36338.08635913,-119.730803,11.149237,-13.609436,1.3954314,0.38472009,0.2908953,0.5835946,0.099958049,0.099954933,0.099965417,0.45290184,99.949887,10,9,0,0,10,9,1.2133878,0.86651969,1.7741923,1.4910287,2.3175256,1.382441,2.6985307
73120.00001,1463,51.09434891958,-114.13796456263,1094.3334,-0.0003526758,-0.0004048764,-0.0001056694,0.001932986,35146.25521699,-119.537676,11.205245,-13.634157,1.3764105,0.3702017,0.28184507,0.56389203,0.099958032,0.099954925,0.099965342,0.43735286,99.949887,10,9,0,0,10,9,1.2142148,0.8672061,1.7739422,1.4921005,2.3180239,1.3824061,2.6989408
73124.99999,1463,51.09434976686,-114.13796528526,1094.1983,-2.926131e-005,0.0001182929,-0.0003456858,0.0004386896,33956.52296395,-119.320521,11.299522,-13.684788,1.2412461,0.35755993,0.27378477,0.54676978,0.099959067,0.099955056,0.099965583,0.42363749,99.949887,10,8,0,0,10,8,1.3281641,0.890791,1.7859288,1.5992274,2.3973048,1.3907832,2.7715247
73130,1463,51.09435040755,-114.13796590425,1094.1633,0.0008147867,-0.0006916881,-0.0006600342,0.00384764,32768.63927241,-119.142683,11.37081,-13.728159,1.2063091,0.34527403,0.26618321,0.53096191,0.099959775,0.099955137,0.099965781,0.41092356,99.949887,10,8,0,0,10,8,1.3289052,0.89147115,1.7856228,1.6002219,2.3977404,1.3907027,2.7718608
73135.00001,1463,51.09435100321,-114.13796652774,1094.1386,2.820837e-005,0.0003349182,0.0001703027,0.001209974,31582.62037397,-118.954846,11.43709,-13.771845,1.1815581,0.33339111,0.25900129,0.51611725,0.099959784,0.099955141,0.099965773,0.39896255,99.949887,10,8,0,0,10,8,1.3296461,0.89215195,1.7853171,1.6012163,2.3981764,1.3906229,2.7721982
73139.99999,1463,51.09435173975,-114.13796754497,1094.0706,5.002974e-005,-6.762562e-005,-0.0002543049,0.0003028325,30398.45083122,-118.768166,11.519043,-13.843119,1.1135835,0.32188395,0.25219179,0.50212673,0.099959788,0.099955145,0.099965765,0.38767563,99.949887,10,8,0,0,10,8,1.3303865,0.89283341,1.7850118,1.6022109,2.3986135,1.3905435,2.7725363
