GPS time of week(s), GPS week, latitude (deg), longitude (deg), height (m), Velocity North (m/s), Velocity East (m/s), Velocity Up (m/s), Ground Speed (km/hr), Clock Offset (m), Clock Drift (m/s), Northing (m), Easting (m), Up (m),STDEV latitude (m), STDEV longitude (m), STDEV height (m), STDEV Velocity North (m/s), STDEV Velocity East (m/s), STDEV Velocity Up (m/s), STDEV Clock Offset (m), STDEV Clock Drift (m/s), NR PSR Available, NR PSR Used, NR Doppler Available, NR Doppler Used, NR ADR Available, NR ADR Used,NDOP,EDOP,VDOP,HDOP,PDOP,TDOP,GDOP
75309.999,1463,51.09429071704,-114.13795985069,1093.6214,0.0004313133,-0.00472248,0.000183557,0.01707169,-167087.5791143,-120.425785,4.7290952,-13.304019,0.66439936,0.1324598,0.092877801,0.18011751,0.099955997,0.099955012,0.099960738,0.11822114,99.949887,10,9,0,0,10,9,0.79382867,0.68967587,1.176057,1.0515782,1.5776333,0.85251504,1.7932397
75314.99901,1463,51.09429109809,-114.13795985285,1093.6677,4.809311e-007,-0.002393153,0.0009327995,0.00861535,-168288.6871786,-120.473396,4.7714936,-13.304171,0.71069311,0.13224201,0.092999515,0.17931889,0.099963234,0.099960076,0.099963479,0.11779979,99.949887,10,9,0,0,9,8,0.79384208,0.68955868,1.1765074,1.0515115,1.5779246,0.85288274,1.7936708
75319.99902,1463,51.09429119826,-114.13795988967,1093.6935,-0.000333591,-0.0009628536,0.0007416303,0.003668416,-169490.1632074,-120.509472,4.78264,-13.30675,0.73651629,0.13181388,0.093000039,0.18010946,0.099966657,0.099963105,0.099990156,0.11767714,99.949887,10,9,0,0,10,5,0.8019979,0.67108703,1.1617047,1.0457335,1.5630471,0.84181517,1.7753222
75324.999,1463,51.09429117303,-114.13795964681,1093.6816,-0.002651846,0.0003065693,-0.002643694,0.00961023,-170692.030113,-120.549054,4.7798322,-13.289734,0.7246082,0.13096043,0.092464215,0.17956324,0.099960086,0.099955545,0.099966625,0.11738445,99.949887,10,9,0,0,10,5,0.80195647,0.67099839,1.1624351,1.0456448,1.5635307,0.84237522,1.7760136
75329.99901,1463,51.09429125545,-114.13795958197,1093.7016,-0.0002095925,-0.0004009844,-0.0001486059,0.001628846,-171893.9023199,-120.549535,4.789003,-13.285191,0.74462445,0.13000404,0.091820031,0.17847951,0.09995998,0.099955471,0.099965949,0.1169078,99.949887,10,9,0,0,10,9,0.80191475,0.67090976,1.1631665,1.0455559,1.5640153,0.84293586,1.7767061
75334.99902,1463,51.09429139823,-114.13795928168,1093.7105,-0.0001648331,0.0008936968,-0.0004746689,0.003271574,-173096.2585106,-120.597227,4.8048905,-13.26415,0.75348958,0.12895476,0.0911361,0.17726232,0.099954858,0.099953576,0.099959313,0.1163411,99.949887,10,9,0,0,10,9,0.80187267,0.67082113,1.1638992,1.0454668,1.5645006,0.84349716,1.7773997
75339.999,1463,51.09429169586,-114.13795915972,1093.7221,0.001258539,-0.0003172685,-0.0002823176,0.004672488,-174298.8106997,-120.61785,4.8380073,-13.255604,0.76508172,0.12797651,0.090497809,0.17610814,0.099954846,0.099953571,0.099959278,0.11580956,99.949887,10,9,0,0,10,9,0.80183035,0.67073256,1.1646328,1.0453775,1.5649868,0.84405899,1.7780943
75344.99901,1463,51.09429172999,-114.13795910501,1093.7148,-0.0002756649,0.0005450522,0.0001400105,0.00219887,-175501.9632796,-120.675795,4.841805,-13.251771,0.75776781,0.12702364,0.089882371,0.17499614,0.099954846,0.09995357,0.099959287,0.11529537,99.949887,10,9,0,0,10,9,0.80178779,0.67064393,1.1653676,1.045288,1.5654739,0.84462148,1.77879
75349.99902,1463,51.09429201166,-114.13795864942,1093.7214,0.001930214,0.003351602,0.002252209,0.01392365,-176705.4784114,-120.711682,4.8731455,-13.219849,0.76435563,0.12607676,0.089280214,0.17391084,0.099954846,0.099953569,0.099959297,0.11478955,99.949887,10,9,0,0,10,9,0.80174488,0.67055535,1.1661035,1.0451982,1.5659618,0.84518456,1.7794869
75354.999,1463,51.09429201307,-114.13795904084,1093.6669,-0.0003361098,-0.002250917,-0.003254614,0.008193141,-177909.4220599,-120.755308,4.8733033,-13.247275,0.70988373,0.1251254,0.088686503,0.172844,0.099954845,0.099953568,0.099959306,0.11428758,99.949887,10,9,0,0,10,9,0.80170172,0.67046678,1.1668406,1.0451083,1.5664508,0.84574831,1.780185
